I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcurand.so locally
WARNING:tensorflow:<tensorflow.python.ops.rnn_cell.BasicLSTMCell object at 0x7faafb764fd0>: Using a concatenated state is slower and will soon be deprecated.  Use state_is_tuple=True.
WARNING:tensorflow:<tensorflow.python.ops.rnn_cell.BasicLSTMCell object at 0x7faae0fa8f10>: Using a concatenated state is slower and will soon be deprecated.  Use state_is_tuple=True.
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 0 with properties: 
name: TITAN X (Pascal)
major: 6 minor: 1 memoryClockRate (GHz) 1.531
pciBusID 0000:82:00.0
Total memory: 11.90GiB
Free memory: 11.76GiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:972] DMA: 0 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 0:   Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:0) -> (device: 0, name: TITAN X (Pascal), pci bus id: 0000:82:00.0)
(1, 15, 20, 832)
(1, 15, 20, 2496)
(1, 15, 20, 832)
(1, 15, 20, 2496)
Step: 4500, lr: 0.001000, Train Loss: 0.25, Softmax Test Accuracy: 93.7%, Time/image (ms): 245.7
Step: 4550, lr: 0.001000, Train Loss: 0.36, Softmax Test Accuracy: 85.0%, Time/image (ms): 212.9
Step: 4600, lr: 0.001000, Train Loss: 0.62, Softmax Test Accuracy: 96.3%, Time/image (ms): 219.4
Step: 4650, lr: 0.001000, Train Loss: 0.36, Softmax Test Accuracy: 94.0%, Time/image (ms): 214.0
Step: 4700, lr: 0.001000, Train Loss: 0.45, Softmax Test Accuracy: 97.0%, Time/image (ms): 212.2
Step: 4750, lr: 0.001000, Train Loss: 0.43, Softmax Test Accuracy: 95.0%, Time/image (ms): 217.3
Step: 4800, lr: 0.001000, Train Loss: 0.45, Softmax Test Accuracy: 92.7%, Time/image (ms): 213.8
Step: 4850, lr: 0.001000, Train Loss: 0.37, Softmax Test Accuracy: 86.7%, Time/image (ms): 214.2
Step: 4900, lr: 0.001000, Train Loss: 0.24, Softmax Test Accuracy: 93.0%, Time/image (ms): 208.9
Step: 4950, lr: 0.001000, Train Loss: 0.32, Softmax Test Accuracy: 94.3%, Time/image (ms): 212.8
Step: 5000, lr: 0.001000, Train Loss: 0.34, Softmax Test Accuracy: 94.3%, Time/image (ms): 215.1
Step: 5050, lr: 0.001000, Train Loss: 0.21, Softmax Test Accuracy: 95.3%, Time/image (ms): 213.2
Step: 5100, lr: 0.001000, Train Loss: 0.46, Softmax Test Accuracy: 94.7%, Time/image (ms): 214.8
Step: 5150, lr: 0.001000, Train Loss: 0.33, Softmax Test Accuracy: 95.0%, Time/image (ms): 207.0
Step: 5200, lr: 0.001000, Train Loss: 0.36, Softmax Test Accuracy: 91.3%, Time/image (ms): 212.1
Step: 5250, lr: 0.001000, Train Loss: 0.31, Softmax Test Accuracy: 96.3%, Time/image (ms): 213.0
Step: 5300, lr: 0.001000, Train Loss: 0.35, Softmax Test Accuracy: 90.0%, Time/image (ms): 215.5
Step: 5350, lr: 0.001000, Train Loss: 0.69, Softmax Test Accuracy: 94.0%, Time/image (ms): 215.6
Step: 5400, lr: 0.001000, Train Loss: 0.33, Softmax Test Accuracy: 96.7%, Time/image (ms): 212.7
Step: 5450, lr: 0.001000, Train Loss: 0.23, Softmax Test Accuracy: 92.7%, Time/image (ms): 214.2
Step: 5500, lr: 0.001000, Train Loss: 0.55, Softmax Test Accuracy: 93.7%, Time/image (ms): 213.8
Step: 5550, lr: 0.001000, Train Loss: 0.59, Softmax Test Accuracy: 96.0%, Time/image (ms): 215.0
Step: 5600, lr: 0.001000, Train Loss: 0.23, Softmax Test Accuracy: 95.0%, Time/image (ms): 214.2
Step: 5650, lr: 0.001000, Train Loss: 0.37, Softmax Test Accuracy: 90.3%, Time/image (ms): 218.6
Step: 5700, lr: 0.001000, Train Loss: 0.31, Softmax Test Accuracy: 80.0%, Time/image (ms): 217.0
Step: 5750, lr: 0.001000, Train Loss: 0.43, Softmax Test Accuracy: 90.7%, Time/image (ms): 214.4
Step: 5800, lr: 0.001000, Train Loss: 0.24, Softmax Test Accuracy: 94.0%, Time/image (ms): 214.5
Step: 5850, lr: 0.001000, Train Loss: 0.25, Softmax Test Accuracy: 93.3%, Time/image (ms): 216.6
Step: 5900, lr: 0.001000, Train Loss: 0.25, Softmax Test Accuracy: 93.3%, Time/image (ms): 214.2
Step: 5950, lr: 0.001000, Train Loss: 0.40, Softmax Test Accuracy: 95.7%, Time/image (ms): 212.8
Step: 6000, lr: 0.001000, Train Loss: 0.29, Softmax Test Accuracy: 97.3%, Time/image (ms): 215.6
Step: 6050, lr: 0.001000, Train Loss: 0.20, Softmax Test Accuracy: 97.7%, Time/image (ms): 215.1
Step: 6100, lr: 0.001000, Train Loss: 0.34, Softmax Test Accuracy: 93.0%, Time/image (ms): 208.1
Step: 6150, lr: 0.001000, Train Loss: 0.48, Softmax Test Accuracy: 87.3%, Time/image (ms): 215.6
Step: 6200, lr: 0.001000, Train Loss: 0.18, Softmax Test Accuracy: 94.0%, Time/image (ms): 214.0
Step: 6250, lr: 0.001000, Train Loss: 0.58, Softmax Test Accuracy: 95.3%, Time/image (ms): 216.0
Step: 6300, lr: 0.001000, Train Loss: 0.27, Softmax Test Accuracy: 95.7%, Time/image (ms): 211.5
Step: 6350, lr: 0.001000, Train Loss: 0.35, Softmax Test Accuracy: 95.0%, Time/image (ms): 214.9
Step: 6400, lr: 0.001000, Train Loss: 0.44, Softmax Test Accuracy: 96.7%, Time/image (ms): 210.5
Step: 6450, lr: 0.001000, Train Loss: 0.34, Softmax Test Accuracy: 92.3%, Time/image (ms): 211.5
Step: 6500, lr: 0.001000, Train Loss: 0.24, Softmax Test Accuracy: 96.7%, Time/image (ms): 211.2
Step: 6550, lr: 0.001000, Train Loss: 0.31, Softmax Test Accuracy: 96.7%, Time/image (ms): 211.2
Step: 6600, lr: 0.001000, Train Loss: 0.39, Softmax Test Accuracy: 91.3%, Time/image (ms): 212.8
Step: 6650, lr: 0.001000, Train Loss: 0.38, Softmax Test Accuracy: 90.3%, Time/image (ms): 215.5
Step: 6700, lr: 0.001000, Train Loss: 0.30, Softmax Test Accuracy: 95.3%, Time/image (ms): 214.5
Step: 6750, lr: 0.001000, Train Loss: 0.54, Softmax Test Accuracy: 92.3%, Time/image (ms): 212.9
Step: 6800, lr: 0.001000, Train Loss: 0.16, Softmax Test Accuracy: 89.3%, Time/image (ms): 215.0
Step: 6850, lr: 0.001000, Train Loss: 0.25, Softmax Test Accuracy: 96.0%, Time/image (ms): 210.7
Step: 6900, lr: 0.001000, Train Loss: 0.53, Softmax Test Accuracy: 96.7%, Time/image (ms): 215.2
Step: 6950, lr: 0.001000, Train Loss: 0.31, Softmax Test Accuracy: 97.3%, Time/image (ms): 212.7
Step: 7000, lr: 0.001000, Train Loss: 0.34, Softmax Test Accuracy: 95.0%, Time/image (ms): 213.8
Step: 7050, lr: 0.001000, Train Loss: 0.37, Softmax Test Accuracy: 89.3%, Time/image (ms): 215.7
Step: 7100, lr: 0.001000, Train Loss: 0.46, Softmax Test Accuracy: 95.7%, Time/image (ms): 215.2
Step: 7150, lr: 0.001000, Train Loss: 0.40, Softmax Test Accuracy: 96.0%, Time/image (ms): 214.7
Step: 7200, lr: 0.001000, Train Loss: 0.31, Softmax Test Accuracy: 95.7%, Time/image (ms): 237.9
Step: 7250, lr: 0.001000, Train Loss: 0.28, Softmax Test Accuracy: 94.7%, Time/image (ms): 213.5
Step: 7300, lr: 0.001000, Train Loss: 0.37, Softmax Test Accuracy: 98.0%, Time/image (ms): 208.3
Step: 7350, lr: 0.001000, Train Loss: 0.48, Softmax Test Accuracy: 95.3%, Time/image (ms): 212.5
Step: 7400, lr: 0.001000, Train Loss: 0.37, Softmax Test Accuracy: 96.7%, Time/image (ms): 216.2
Step: 7450, lr: 0.001000, Train Loss: 0.27, Softmax Test Accuracy: 94.3%, Time/image (ms): 214.8
Step: 7500, lr: 0.001000, Train Loss: 0.20, Softmax Test Accuracy: 96.3%, Time/image (ms): 211.2
Step: 7550, lr: 0.001000, Train Loss: 0.53, Softmax Test Accuracy: 96.0%, Time/image (ms): 208.3
Step: 7600, lr: 0.001000, Train Loss: 0.19, Softmax Test Accuracy: 96.0%, Time/image (ms): 208.4
